                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6615,                 7.6028,                 3.9773,                0.22252,                 0.0225,                0.01365,                0.00382,                 3.6077,                 9.6868,                 3.1542,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.2468,                 4.8015,                 2.6191,                0.86898,                  0.125,                0.07566,                0.02882,                  3.551,                 9.0427,                 2.4867,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.0114,                 3.7191,                 2.1719,                0.83207,                0.11583,                0.03401,                0.01325,                 3.3084,                 10.662,                 2.0905,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9693,                 3.1392,                 1.9593,                0.90254,                0.15667,                0.12414,                0.05281,                  3.185,                 3.4813,                 1.9662,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9249,                 2.8015,                 1.8542,                0.75984,                0.14062,                0.11606,                0.05207,                 3.0488,                 3.1472,                 1.7777,              0.0099258,              0.0099258,              0.0099258
                      6,                  2.796,                 2.5859,                 1.7584,                0.35111,                0.16865,                0.12627,                0.05877,                 3.0525,                 2.9837,                 1.8169,               0.009901,               0.009901,               0.009901
                      7,                 2.7595,                 2.5331,                 1.7251,                0.73968,                0.16512,                 0.1568,                0.07134,                 2.8094,                 2.5568,                 1.6842,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7422,                 2.4707,                 1.6968,                0.74863,                0.19113,                0.14159,                0.06233,                 2.8063,                  2.668,                  1.665,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6768,                 2.3761,                 1.6818,                0.23209,                0.20088,                0.17689,                0.08041,                 2.7832,                 2.3479,                 1.6722,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6221,                 2.2739,                 1.6617,                0.35825,                0.20708,                0.15447,                0.05996,                 2.9383,                 2.5438,                 1.7046,               0.009802,               0.009802,               0.009802
                     11,                 2.5903,                 2.2149,                 1.6265,                0.20533,                0.28758,                0.20736,                0.09269,                 2.6912,                 2.2391,                 1.5947,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5505,                 2.1374,                 1.6134,                0.43947,                0.26028,                0.19674,                0.08222,                 2.6513,                 2.2975,                   1.58,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5199,                 2.0395,                 1.5815,                0.24703,                0.25937,                0.18744,                0.08367,                 2.7695,                 2.3156,                 1.6253,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5031,                 2.0345,                  1.576,                0.28303,                 0.3365,                0.22467,                0.09263,                 2.5961,                 2.1456,                 1.5588,               0.009703,               0.009703,               0.009703
                     15,                 2.4331,                 1.9261,                 1.5408,                0.29513,                0.33712,                0.26327,                0.11141,                 2.5902,                 2.2322,                 1.5756,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4505,                 1.8934,                 1.5471,                0.24898,                0.36763,                0.26723,                0.11863,                  2.531,                 2.1408,                 1.5365,              0.0096535,              0.0096535,              0.0096535
                     17,                  2.414,                 1.8556,                 1.5288,                0.33528,                0.32045,                0.28158,                 0.1195,                 2.6112,                 2.0805,                 1.5987,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.3721,                 1.8196,                 1.5135,                0.34777,                0.37602,                 0.3116,                0.13172,                 2.5416,                  1.916,                 1.5356,               0.009604,               0.009604,               0.009604
                     19,                 2.3752,                  1.782,                 1.5102,                0.44065,                 0.3669,                0.34403,                0.15028,                 2.4689,                 1.7386,                 1.5037,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3518,                 1.7398,                 1.5008,                0.37883,                0.37506,                0.33496,                0.14406,                 2.5192,                 1.9268,                 1.5268,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.3371,                 1.7139,                 1.4703,                0.43213,                0.37497,                 0.3613,                 0.1557,                 2.4505,                 1.6823,                  1.479,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.3036,                 1.6628,                 1.4799,                0.36517,                0.42831,                0.34543,                0.15148,                  2.378,                 1.7208,                 1.4679,               0.009505,               0.009505,               0.009505
                     23,                 2.2643,                 1.6124,                 1.4534,                0.41967,                 0.4073,                0.36526,                0.16463,                 2.3706,                 1.5846,                 1.4625,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.2614,                 1.5959,                 1.4346,                0.42835,                0.44295,                0.39295,                0.17109,                 2.3175,                 1.6019,                 1.4329,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.2245,                 1.5791,                 1.4318,                0.45981,                0.39568,                0.38337,                0.17208,                 2.3138,                 1.5562,                  1.442,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.2167,                 1.5404,                  1.415,                0.46423,                0.43354,                0.41557,                0.18726,                 2.2814,                 1.5172,                 1.4235,               0.009406,               0.009406,               0.009406
                     27,                 2.2336,                 1.5261,                  1.437,                0.48443,                0.43776,                0.42453,                0.17836,                 2.3256,                 1.5713,                 1.4265,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.1909,                 1.4753,                  1.408,                0.54318,                0.45479,                0.44992,                0.20443,                 2.2868,                 1.4257,                 1.4116,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.1582,                 1.4568,                 1.3933,                0.48588,                0.44907,                0.42034,                0.18879,                 2.2858,                 1.5296,                 1.4317,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.1357,                 1.4186,                 1.3936,                0.52246,                0.45563,                0.45623,                 0.2047,                 2.2313,                  1.407,                 1.3835,               0.009307,               0.009307,               0.009307
                     31,                 2.1475,                 1.4304,                 1.3873,                0.53282,                 0.4725,                0.45863,                 0.2014,                 2.2071,                 1.4369,                 1.3944,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.1367,                 1.3895,                  1.389,                0.56765,                0.45877,                0.45639,                0.19779,                  2.217,                 1.4353,                 1.3938,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.1222,                 1.3904,                 1.3718,                0.52335,                0.50121,                0.48805,                0.22183,                  2.138,                 1.3199,                 1.3572,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.0826,                 1.3789,                  1.376,                0.57263,                 0.4901,                0.49076,                0.21389,                 2.1846,                 1.3096,                 1.3867,               0.009208,               0.009208,               0.009208
                     35,                 2.0749,                 1.3421,                 1.3635,                0.53905,                0.47926,                 0.5023,                0.21534,                 2.2275,                 1.3945,                 1.3885,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.0509,                 1.3101,                 1.3609,                0.58117,                0.50247,                  0.509,                0.22514,                  2.154,                 1.3957,                  1.357,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.0442,                 1.2996,                 1.3472,                 0.5724,                0.51365,                0.52137,                0.23659,                 2.1469,                 1.2843,                 1.3532,              0.0091337,              0.0091337,              0.0091337
