                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2737,                 9.1227,                 4.3478,                      0,                      0,                      0,                      0,                 5.2573,                 13.856,                 3.9419,              0.0033173,              0.0033173,              0.0033173
                      2,                 5.2496,                 9.0765,                 4.2696,                0.00031,                0.03083,                0.00022,                  5e-05,                 4.3455,                 15.641,                 4.3053,              0.0066342,              0.0066342,              0.0066342
                      3,                 5.0938,                 8.4928,                 4.0755,                0.00015,                  0.015,                  8e-05,                  2e-05,                 4.2448,                  38.67,                 4.6671,              0.0099346,              0.0099346,              0.0099346
                      4,                 4.2481,                 6.9408,                 3.6536,                0.00039,                0.04673,                0.00027,                  6e-05,                 4.2604,                 6.9979,                 3.3571,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.9044,                 6.1924,                  3.217,                0.20322,                0.01281,                0.00102,                0.00022,                 4.4378,                 76.345,                 5.4541,              0.0099258,              0.0099258,              0.0099258
                      6,                 3.6434,                 5.2688,                 2.8304,                0.83213,                0.06667,                0.02672,                0.01078,                 3.5263,                 4.4224,                 2.6284,               0.009901,               0.009901,               0.009901
                      7,                 3.4006,                 4.1378,                 2.4075,                0.86008,                   0.13,                  0.062,                0.02362,                 3.4086,                 3.8906,                 2.2002,              0.0098763,              0.0098763,              0.0098763
                      8,                 3.1574,                 3.4089,                 2.0959,                0.88002,                0.15083,                0.09085,                0.03813,                 3.2306,                 4.7768,                 2.0146,              0.0098515,              0.0098515,              0.0098515
                      9,                  3.048,                 3.0994,                 1.9709,                0.69687,                0.14558,                0.10124,                0.04566,                 3.1486,                 3.4838,                 1.9184,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.9168,                 2.9034,                 1.8778,                0.88063,                 0.1548,                0.08844,                0.03643,                 3.3764,                 3.1602,                 1.9176,               0.009802,               0.009802,               0.009802
                     11,                 2.8955,                 2.7829,                  1.818,                0.89997,                0.14908,                0.12161,                0.05413,                 3.0382,                 2.8818,                 1.7982,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.8607,                 2.7048,                 1.7941,                0.31876,                 0.1716,                0.10032,                  0.044,                 3.0549,                 2.9364,                  1.768,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.8147,                 2.5823,                  1.737,                0.52557,                0.14877,                0.11426,                0.05149,                 2.9705,                 2.7562,                 1.7077,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.7535,                 2.5412,                 1.7193,                0.50428,                0.14377,                0.08143,                0.03654,                 2.9417,                 2.8915,                 1.7192,               0.009703,               0.009703,               0.009703
                     15,                 2.6977,                 2.4307,                 1.6812,                0.36634,                0.20038,                0.16009,                0.06982,                 2.8206,                 2.5166,                 1.6524,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.6847,                 2.3519,                 1.6731,                0.92266,                0.13349,                0.16664,                0.07698,                 2.8148,                 2.5702,                 1.6572,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.6474,                 2.2999,                 1.6518,                 0.2899,                0.21855,                0.16782,                0.06734,                 2.9242,                 2.4035,                 1.6915,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.6134,                 2.2488,                 1.6353,                0.23301,                0.25583,                0.17828,                  0.076,                 2.7495,                 2.3209,                 1.6327,               0.009604,               0.009604,               0.009604
                     19,                  2.588,                 2.1962,                 1.6192,                0.26882,                0.26174,                0.18121,                0.07866,                 2.7268,                 2.4357,                 1.6179,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.6005,                 2.1809,                 1.6174,                0.29458,                0.26682,                0.21293,                0.09543,                 2.6561,                 2.3063,                 1.5776,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.5354,                  2.155,                 1.5702,                0.38177,                0.29524,                 0.2377,                0.09744,                 2.6513,                 2.1599,                 1.5665,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.5466,                 2.1217,                 1.5939,                0.25591,                0.33627,                0.23087,                0.09892,                 2.6345,                 2.2485,                 1.5536,               0.009505,               0.009505,               0.009505
                     23,                 2.5041,                 2.0638,                 1.5708,                0.30667,                0.30293,                0.24563,                0.09737,                 2.6318,                 2.1445,                 1.5689,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.5105,                 2.0307,                 1.5487,                0.33431,                0.33359,                 0.2712,                0.11586,                 2.5415,                 1.9918,                 1.5302,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.4501,                 2.0033,                 1.5365,                0.33441,                0.29577,                0.26973,                0.11227,                 2.5831,                 2.0041,                 1.5258,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.4508,                 1.9494,                 1.5235,                0.28148,                0.34114,                0.26383,                0.11442,                 2.5906,                 2.1435,                 1.5452,               0.009406,               0.009406,               0.009406
                     27,                 2.4445,                 1.9215,                 1.5349,                0.33926,                0.33023,                0.28815,                0.12046,                 2.5403,                  1.929,                 1.5092,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.4378,                 1.8827,                 1.5228,                0.38139,                0.33555,                0.29581,                0.12984,                 2.4938,                 1.9103,                  1.509,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.3887,                   1.87,                 1.5014,                0.35833,                0.34766,                0.30379,                0.12931,                 2.5248,                 1.8466,                 1.5237,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.3699,                 1.8097,                 1.5026,                0.31524,                0.36932,                0.30693,                0.13302,                 2.4918,                 1.8664,                 1.4958,               0.009307,               0.009307,               0.009307
                     31,                 2.3976,                 1.8438,                 1.5034,                0.39755,                 0.3601,                0.31831,                 0.1319,                 2.4929,                 1.8276,                 1.4974,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.3868,                 1.7821,                 1.5023,                0.32731,                0.37516,                0.31368,                0.13334,                   2.46,                 1.8909,                 1.4833,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.3705,                 1.7694,                 1.4854,                0.40276,                 0.3785,                0.35352,                0.15453,                    2.4,                 1.7158,                 1.4547,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.3419,                 1.7692,                 1.4952,                 0.4188,                0.35586,                0.33433,                0.14694,                 2.4209,                 1.8387,                 1.4664,               0.009208,               0.009208,               0.009208
                     35,                 2.3196,                 1.7097,                 1.4701,                0.40085,                0.41016,                 0.3597,                0.15936,                 2.3536,                  1.664,                 1.4386,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.2844,                 1.7052,                 1.4677,                 0.3898,                0.39459,                0.35817,                0.15259,                 2.4482,                 1.7407,                 1.4681,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.2971,                 1.6811,                 1.4618,                0.43302,                0.39723,                0.37764,                0.16335,                 2.3949,                 1.6251,                 1.4563,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.2728,                 1.6263,                 1.4443,                0.44146,                0.42623,                0.38782,                0.17289,                 2.3527,                 1.6047,                 1.4256,               0.009109,               0.009109,               0.009109
                     39,                 2.2732,                 1.6566,                  1.443,                0.44687,                0.41201,                0.38451,                0.17467,                  2.318,                 1.6114,                 1.4176,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.2516,                 1.6264,                 1.4496,                0.47448,                0.44588,                0.41188,                0.18455,                 2.2881,                 1.5628,                  1.408,              0.0090595,              0.0090595,              0.0090595
                     41,                  2.268,                 1.6144,                 1.4392,                0.48873,                0.42734,                0.41159,                0.18495,                 2.3041,                 1.6141,                  1.399,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.2312,                 1.5738,                 1.4323,                0.45833,                0.43801,                 0.4203,                0.18853,                 2.2902,                 1.5349,                 1.4076,                0.00901,                0.00901,                0.00901
                     43,                 2.2403,                 1.5716,                 1.4428,                0.49255,                0.43755,                0.41991,                0.19444,                 2.2534,                 1.5137,                 1.3998,              0.0089853,              0.0089853,              0.0089853
                     44,                 2.1757,                 1.5189,                 1.4194,                0.47647,                0.45493,                0.40861,                0.18834,                 2.2644,                 1.5203,                 1.3866,              0.0089605,              0.0089605,              0.0089605
                     45,                 2.2105,                 1.5362,                 1.4141,                0.50285,                0.44549,                0.43254,                0.19081,                 2.3058,                  1.526,                 1.4044,              0.0089358,              0.0089358,              0.0089358
                     46,                 2.2006,                 1.5324,                 1.4107,                0.49598,                 0.4507,                0.43797,                0.20238,                 2.2361,                 1.4514,                 1.3829,               0.008911,               0.008911,               0.008911
                     47,                 2.1928,                 1.4988,                 1.4226,                0.52118,                0.46315,                0.45656,                0.20755,                 2.2247,                 1.4323,                 1.3814,              0.0088863,              0.0088863,              0.0088863
                     48,                 2.1483,                 1.4683,                 1.3991,                0.50833,                 0.4673,                0.45966,                0.20397,                 2.2026,                 1.4255,                 1.3693,              0.0088615,              0.0088615,              0.0088615
                     49,                 2.1753,                 1.4675,                 1.4029,                0.50884,                0.47851,                 0.4561,                0.20673,                 2.2139,                 1.4444,                 1.3683,              0.0088368,              0.0088368,              0.0088368
                     50,                 2.1489,                 1.4558,                 1.3812,                 0.5318,                0.47347,                0.46834,                0.21011,                 2.2016,                  1.386,                 1.3792,               0.008812,               0.008812,               0.008812
                     51,                 2.1416,                 1.4531,                 1.3888,                0.56428,                0.46705,                0.47033,                0.21241,                 2.1905,                 1.3943,                 1.3732,              0.0087872,              0.0087872,              0.0087872
                     52,                 2.1344,                 1.4566,                 1.3931,                0.54609,                0.46198,                0.47234,                0.22215,                 2.1654,                 1.3867,                 1.3561,              0.0087625,              0.0087625,              0.0087625
                     53,                 2.1205,                 1.4152,                 1.3843,                0.50993,                0.47056,                0.46628,                0.21857,                 2.1605,                 1.3633,                 1.3567,              0.0087378,              0.0087378,              0.0087378
                     54,                 2.1292,                 1.4328,                 1.3821,                0.52155,                0.46667,                0.45246,                0.20832,                 2.2492,                 1.4961,                 1.3661,               0.008713,               0.008713,               0.008713
                     55,                 2.1181,                 1.4131,                 1.3888,                0.54865,                0.49363,                0.48617,                0.22482,                 2.1286,                 1.3646,                 1.3516,              0.0086882,              0.0086882,              0.0086882
                     56,                 2.1208,                 1.4114,                 1.3732,                0.52795,                0.48436,                0.48251,                0.22359,                 2.1785,                 1.3638,                  1.351,              0.0086635,              0.0086635,              0.0086635
                     57,                 2.0764,                  1.365,                 1.3575,                0.56148,                0.48837,                0.48687,                0.22188,                  2.182,                 1.3621,                 1.3584,              0.0086388,              0.0086388,              0.0086388
                     58,                 2.0997,                 1.3867,                 1.3808,                0.57237,                0.50888,                0.50698,                0.23382,                 2.1295,                 1.3236,                 1.3448,               0.008614,               0.008614,               0.008614
                     59,                 2.0935,                 1.3778,                 1.3496,                0.58817,                0.46948,                0.48418,                0.22396,                 2.2004,                 1.4442,                 1.3715,              0.0085893,              0.0085893,              0.0085893
                     60,                 2.1007,                 1.3938,                 1.3739,                0.57799,                0.51444,                0.51108,                0.23901,                 2.1157,                 1.2835,                 1.3413,              0.0085645,              0.0085645,              0.0085645
