                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.226,                 8.7409,                 4.3034,                0.00039,                  0.055,                 0.0003,                  6e-05,                 4.6723,                 11.766,                 3.9111,              0.0033173,              0.0033173,              0.0033173
                      2,                 4.5906,                 7.4361,                 3.9368,                0.00098,                  0.025,                0.00061,                0.00014,                 4.2991,                  7.302,                 4.0038,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.8661,                 6.0122,                 3.2579,                0.85771,                0.07706,                0.04679,                0.01753,                 3.5321,                 11.018,                 2.7704,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.2484,                   4.38,                 2.5075,                0.86605,                 0.1075,                0.06482,                0.02651,                 3.4398,                 6.3853,                 2.2651,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0337,                 3.4611,                 2.1448,                0.86126,                0.06917,                0.05067,                0.01866,                 3.6107,                 3.4943,                 2.1087,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9701,                 3.1174,                 1.9493,                0.88859,                0.14833,                0.09485,                0.03935,                 3.1464,                 3.1728,                 1.9128,               0.009901,               0.009901,               0.009901
                      7,                 2.9194,                 2.9139,                 1.8684,                0.88754,                0.15569,                0.09936,                0.04447,                 3.0057,                 3.0126,                 1.8271,              0.0098763,              0.0098763,              0.0098763
                      8,                  2.876,                 2.7807,                 1.8004,                0.52561,                0.17629,                0.12469,                0.05678,                 2.9711,                 2.8671,                 1.7263,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7981,                 2.6163,                 1.7643,                0.57912,                0.19347,                0.14115,                0.06553,                 2.8876,                  2.681,                 1.6925,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.7111,                 2.5234,                 1.7182,                0.33339,                0.19137,                 0.1283,                0.05721,                  2.974,                 2.9657,                  1.685,               0.009802,               0.009802,               0.009802
                     11,                 2.6818,                 2.4403,                 1.6739,                0.22784,                0.22613,                0.15043,                0.06457,                 2.7376,                 2.3705,                 1.6369,              0.0097773,              0.0097773,              0.0097773
