                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7455,                  8.163,                 3.9284,                      0,                      0,                      0,                      0,                 5.0855,                 9.4153,                 3.8591,             0.00036659,             0.00036659,             0.00036659
                      2,                 3.1315,                 4.8606,                 2.7446,                0.67789,                0.04727,                0.06371,                0.02353,                  3.565,                 4.7027,                 2.8717,              0.0007351,              0.0007351,              0.0007351
                      3,                 2.8406,                 3.7868,                  2.271,                0.90226,                0.13273,                0.10146,                0.04962,                 3.1795,                 4.1968,                 2.3891,              0.0011018,              0.0011018,              0.0011018
                      4,                 2.6654,                 3.3733,                 2.0518,                0.88967,                0.12909,                0.10219,                0.05073,                 2.9044,                 3.2939,                 2.1018,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.6023,                 3.1227,                 1.9706,                0.80702,                0.16756,                0.13848,                0.06328,                 2.8572,                 3.1504,                 2.0673,              0.0011028,              0.0011028,              0.0011028
                      6,                 2.5334,                 3.0302,                 1.8656,                 0.7159,                0.15273,                0.13513,                0.06887,                 2.7879,                 2.8877,                 2.0221,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.4376,                 2.7416,                  1.829,                0.89291,                0.15458,                0.12261,                0.06454,                 2.7285,                 2.8627,                  1.975,              0.0010973,              0.0010973,              0.0010973
                      8,                 2.4394,                 2.7222,                 1.8024,                0.73278,                0.15751,                0.11084,                0.05023,                 2.7069,                 2.9157,                 1.9671,              0.0010945,              0.0010945,              0.0010945
                      9,                 2.3349,                 2.5071,                 1.7221,                0.81022,                0.17915,                0.12692,                0.05644,                 2.8278,                 2.6799,                 1.9992,              0.0010918,              0.0010918,              0.0010918
                     10,                   2.36,                 2.4752,                 1.7483,                0.91031,                0.15273,                0.14774,                 0.0771,                 2.5221,                 2.4969,                 1.8345,               0.001089,               0.001089,               0.001089
                     11,                 2.3397,                 2.3838,                 1.7205,                0.54445,                0.18527,                0.13546,                0.06558,                 2.6074,                 2.5005,                 1.9133,              0.0010863,              0.0010863,              0.0010863
