                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  4.621,                 7.2685,                 3.7832,                0.85446,                0.09083,                0.04136,                0.01678,                 3.7213,                 9.3572,                 2.9393,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.2882,                 4.5814,                 2.6283,                0.87734,                   0.14,                0.07917,                0.03391,                 3.2361,                 6.8654,                 2.4405,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.0535,                 3.6023,                  2.168,                0.86289,                 0.1464,                0.07096,                0.03024,                 3.2708,                 5.4938,                 2.0157,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9695,                 3.0909,                 1.9462,                0.87901,                0.14917,                0.09737,                0.04527,                 3.0931,                 3.7045,                 1.8532,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.8463,                 2.7063,                 1.8199,                0.69535,                0.14426,                0.11759,                0.05382,                 2.9696,                 2.7179,                 1.7718,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.6869,                 2.4923,                 1.7105,                0.34776,                0.20154,                0.15956,                0.07342,                 2.8064,                 2.5951,                 1.6828,               0.009901,               0.009901,               0.009901
                      7,                 2.6592,                  2.375,                 1.6749,                 0.4014,                0.22843,                0.17596,                 0.0786,                 2.8279,                 2.6159,                 1.6698,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.6107,                 2.2763,                 1.6368,                 0.4615,                0.21065,                0.21001,                0.08731,                 2.7574,                 2.3416,                 1.6369,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.5527,                 2.1658,                 1.6151,                0.23647,                0.31635,                0.22548,                0.09244,                 2.6912,                 2.2851,                 1.6253,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.4756,                 2.0577,                 1.5868,                0.26648,                0.31827,                0.23651,                0.09563,                  2.739,                 2.2841,                 1.6273,               0.009802,               0.009802,               0.009802
                     11,                  2.477,                 1.9967,                 1.5606,                0.42296,                0.27233,                0.29322,                 0.1242,                  2.558,                 2.0265,                 1.5278,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.4325,                 1.9213,                  1.546,                0.36558,                0.36339,                0.31925,                0.13374,                 2.5587,                 1.8392,                 1.5266,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.3988,                 1.8363,                 1.5182,                0.27004,                0.36158,                0.30021,                0.12392,                 2.5762,                 2.0176,                 1.5208,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.3767,                  1.783,                  1.506,                0.27079,                0.44533,                0.36306,                0.15012,                 2.4217,                 2.2865,                 1.4617,               0.009703,               0.009703,               0.009703
                     15,                 2.3247,                 1.7132,                  1.477,                0.40649,                0.42348,                0.38867,                0.16762,                 2.4115,                   1.69,                 1.4717,              0.0096783,              0.0096783,              0.0096783
                     16,                  2.336,                 1.6746,                 1.4754,                 0.4304,                 0.4212,                0.38605,                0.16484,                 2.3635,                 1.6243,                 1.4344,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.2957,                 1.6266,                 1.4593,                0.41892,                0.41638,                0.39417,                0.16354,                 2.4395,                 1.5984,                 1.4697,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.2576,                 1.5963,                  1.448,                0.44992,                0.45903,                   0.43,                0.18128,                 2.3284,                 1.6064,                 1.4201,               0.009604,               0.009604,               0.009604
                     19,                 2.2407,                 1.5483,                  1.435,                0.50291,                0.45441,                0.44637,                0.20167,                 2.2744,                 1.4717,                 1.3941,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.2069,                 1.4991,                 1.4253,                0.53769,                0.49412,                0.48215,                0.20381,                 2.2556,                 1.4504,                 1.4153,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.1982,                 1.4862,                 1.3999,                0.51935,                0.49128,                  0.475,                0.20576,                 2.2744,                 1.4134,                 1.4082,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.1825,                 1.4453,                 1.4118,                0.53359,                0.50634,                0.49782,                0.21736,                 2.2442,                 1.3818,                 1.3835,               0.009505,               0.009505,               0.009505
                     23,                 2.1393,                    1.4,                 1.3876,                0.56288,                0.51988,                0.51421,                0.21892,                 2.1919,                  1.383,                 1.3781,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.1301,                 1.3885,                 1.3674,                0.57901,                0.52404,                0.52506,                0.23187,                 2.1593,                 1.3668,                 1.3516,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.0922,                 1.3667,                 1.3615,                0.58741,                0.53367,                0.52512,                0.22821,                 2.2064,                 1.2799,                 1.3771,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.0833,                 1.3282,                 1.3475,                0.58418,                 0.5391,                 0.5357,                0.24049,                 2.1575,                 1.2705,                 1.3623,               0.009406,               0.009406,               0.009406
                     27,                 2.0808,                  1.313,                 1.3554,                0.61499,                0.52416,                0.54683,                0.24491,                 2.1014,                 1.2922,                 1.3247,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.0453,                 1.2828,                 1.3376,                0.61361,                0.52627,                0.53352,                0.24284,                 2.1323,                  1.262,                 1.3494,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.0229,                 1.2681,                 1.3265,                0.59957,                0.54169,                0.54984,                0.25408,                 2.1294,                 1.2051,                 1.3524,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.0086,                 1.2469,                 1.3244,                0.63322,                0.56023,                0.56553,                0.26291,                 2.0575,                   1.21,                  1.319,               0.009307,               0.009307,               0.009307
                     31,                 2.0257,                 1.2455,                 1.3256,                0.61406,                  0.558,                0.55536,                0.25431,                 2.1115,                 1.1993,                 1.3481,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.0064,                 1.2128,                 1.3235,                0.62096,                0.58601,                0.58857,                0.26654,                 2.0425,                 1.1612,                 1.3124,              0.0092575,              0.0092575,              0.0092575
                     33,                 1.9824,                  1.203,                 1.3016,                0.65523,                 0.5571,                0.58667,                0.26588,                 2.0611,                 1.2098,                 1.3299,              0.0092327,              0.0092327,              0.0092327
                     34,                 1.9666,                 1.2095,                 1.3152,                0.68352,                0.59495,                0.59984,                0.27786,                 2.0019,                 1.1368,                 1.3021,               0.009208,               0.009208,               0.009208
                     35,                 1.9502,                 1.1683,                 1.2978,                0.65704,                0.57172,                0.59939,                0.27728,                 1.9797,                 1.1165,                 1.2828,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.9305,                  1.136,                 1.2989,                0.68613,                0.59399,                 0.6164,                0.28489,                 1.9849,                 1.1128,                 1.2951,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.9203,                 1.1434,                 1.2851,                0.71597,                0.58935,                0.62503,                0.29243,                  1.972,                 1.0891,                 1.2768,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.9081,                 1.1163,                 1.2773,                0.73497,                0.59343,                0.63333,                0.30049,                 1.9165,                 1.0543,                 1.2637,               0.009109,               0.009109,               0.009109
                     39,                 1.8988,                 1.1382,                 1.2689,                0.72645,                0.58593,                0.63899,                0.30576,                 1.9036,                 1.0731,                 1.2542,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.9076,                 1.1155,                 1.2872,                0.69155,                0.59687,                0.61933,                0.29137,                 1.9493,                 1.1273,                 1.2682,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.8874,                 1.1019,                 1.2641,                0.70797,                0.60999,                0.63395,                0.30131,                 1.8774,                 1.0607,                 1.2454,              0.0090347,              0.0090347,              0.0090347
                     42,                 1.8727,                 1.0879,                 1.2657,                 0.7157,                0.62555,                0.64854,                0.30346,                 1.9141,                 1.0274,                 1.2627,                0.00901,                0.00901,                0.00901
                     43,                 1.8637,                 1.0837,                 1.2631,                0.71443,                0.59326,                0.63903,                0.30257,                 1.8764,                  1.065,                 1.2387,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.8308,                 1.0629,                  1.252,                0.74506,                0.61154,                0.66148,                0.32655,                 1.8549,                 1.0287,                 1.2233,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.8432,                 1.0672,                 1.2455,                0.75543,                0.62441,                0.66932,                 0.3351,                 1.8416,                 1.0068,                 1.2263,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.8236,                 1.0708,                 1.2374,                0.77385,                0.63402,                0.68069,                0.33473,                 1.8217,                0.99067,                 1.2191,               0.008911,               0.008911,               0.008911
                     47,                 1.8211,                 1.0427,                 1.2504,                0.73551,                0.62987,                0.67743,                0.32255,                 1.8539,                0.98644,                 1.2324,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.7777,                 1.0191,                 1.2251,                0.74283,                0.64132,                0.67577,                0.33572,                 1.8148,                0.98964,                 1.2167,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.7969,                 1.0134,                 1.2328,                 0.7522,                0.65405,                0.68993,                0.33636,                  1.802,                0.96331,                 1.2109,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.7691,                 1.0059,                 1.2118,                0.75112,                0.62438,                0.68108,                0.33747,                 1.8074,                0.99738,                 1.2237,               0.008812,               0.008812,               0.008812
                     51,                 1.7797,                 1.0081,                 1.2237,                0.74536,                0.62865,                0.69041,                0.34755,                 1.8139,                0.96279,                 1.2103,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.7679,                 1.0097,                 1.2235,                0.77879,                0.64904,                0.70496,                0.35633,                 1.7452,                0.93606,                 1.1923,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.7483,                0.98793,                 1.2112,                0.78924,                0.64246,                0.70074,                0.34975,                 1.7642,                0.93204,                 1.1933,              0.0087378,              0.0087378,              0.0087378
                     54,                   1.76,                 1.0033,                 1.2104,                0.79877,                0.63301,                0.69977,                0.34649,                  1.776,                0.95357,                 1.2172,               0.008713,               0.008713,               0.008713
                     55,                 1.7337,                0.98087,                 1.2139,                0.78328,                0.64985,                0.71051,                0.36221,                 1.7312,                0.94203,                 1.1877,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.7363,                0.96587,                 1.1998,                0.78787,                0.66424,                0.72267,                0.36615,                 1.7248,                0.92859,                 1.1723,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.7006,                 0.9498,                 1.1894,                0.80089,                0.64821,                0.71234,                0.36994,                  1.722,                0.92579,                 1.1774,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.7195,                0.96491,                 1.2013,                0.79632,                0.66483,                0.71789,                0.35523,                 1.7398,                0.92576,                 1.1837,               0.008614,               0.008614,               0.008614
                     59,                 1.7103,                0.95485,                  1.182,                0.78803,                0.66642,                0.72087,                0.37851,                 1.6643,                 0.8818,                 1.1641,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.7352,                0.96693,                 1.2035,                0.80728,                0.66895,                0.72499,                0.37238,                 1.7097,                0.90592,                 1.1726,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.6555,                0.90588,                 1.1712,                 0.7941,                0.67139,                0.73209,                0.38104,                 1.6797,                0.88544,                 1.1541,              0.0085398,              0.0085398,              0.0085398
                     62,                 1.6745,                0.91582,                 1.1817,                0.80108,                0.68332,                  0.742,                0.38213,                 1.6583,                0.85804,                 1.1593,               0.008515,               0.008515,               0.008515
                     63,                 1.6616,                0.92308,                 1.1792,                0.78843,                0.67266,                0.73111,                0.38254,                 1.6672,                0.86358,                 1.1625,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.6917,                0.93588,                 1.1773,                0.78234,                0.67387,                0.73307,                 0.3811,                   1.67,                0.87561,                 1.1579,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.6496,                0.91344,                 1.1668,                0.85371,                0.67468,                0.75749,                0.39707,                 1.6384,                0.86456,                 1.1491,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.6389,                0.91142,                 1.1655,                 0.8501,                0.66662,                0.74266,                0.39198,                 1.6503,                0.85798,                 1.1509,               0.008416,               0.008416,               0.008416
                     67,                 1.6648,                0.91649,                  1.174,                0.82767,                0.68748,                0.75155,                0.39522,                 1.6369,                0.84492,                 1.1472,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.6182,                0.88475,                 1.1546,                0.83174,                0.69043,                0.75639,                0.40049,                 1.6003,                0.83427,                 1.1376,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.6727,                0.91951,                 1.1623,                0.83052,                0.67096,                0.74686,                0.38807,                 1.6471,                0.84711,                 1.1489,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.6277,                0.90498,                 1.1654,                0.80182,                0.68301,                0.75113,                0.39921,                 1.6066,                0.84581,                 1.1298,               0.008317,               0.008317,               0.008317
                     71,                 1.6155,                0.89179,                 1.1605,                0.85033,                0.67265,                0.75242,                0.39856,                  1.618,                0.83978,                 1.1392,              0.0082922,              0.0082922,              0.0082922
                     72,                 1.6203,                0.88123,                 1.1543,                0.79295,                0.69318,                 0.7549,                0.39747,                 1.6493,                0.85168,                 1.1529,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.5874,                0.87329,                 1.1412,                0.84934,                0.68968,                0.76429,                0.40429,                 1.6204,                0.83278,                 1.1431,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.6204,                0.88882,                 1.1556,                0.84073,                 0.6907,                0.76861,                0.40457,                 1.5975,                0.82932,                 1.1396,               0.008218,               0.008218,               0.008218
