                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6536,                 7.5131,                 3.9565,                      0,                      0,                      0,                      0,                  4.909,                 12.454,                 3.7913,             0.00036655,             0.00036655,             0.00036655
                      2,                 3.2549,                 4.7746,                 2.7834,                0.83868,                  0.052,                0.03578,                0.01398,                  3.699,                 4.8561,                 2.6928,             0.00073506,             0.00073506,             0.00073506
                      3,                 2.8736,                 3.9389,                 2.3335,                0.89922,                  0.134,                0.11667,                 0.0499,                 3.2285,                 4.1625,                 2.3131,              0.0011017,              0.0011017,              0.0011017
                      4,                 2.6332,                 3.2584,                 2.0989,                0.88719,                  0.142,                0.10841,                0.04064,                 3.1184,                 3.4242,                 2.2515,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.6303,                 3.1341,                 2.0282,                0.91407,                0.14336,                0.10977,                0.05016,                   2.85,                 3.1649,                 2.0728,              0.0011028,              0.0011028,              0.0011028
                      6,                 2.4863,                  2.773,                 1.9187,                 0.8942,                  0.154,                0.11025,                 0.0501,                 2.8602,                 2.9809,                 1.9789,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.4272,                 2.6001,                 1.8442,                0.91252,                   0.14,                0.11475,                0.04927,                 2.8713,                 3.0178,                 2.0341,              0.0010973,              0.0010973,              0.0010973
                      8,                 2.4528,                 2.5535,                 1.8149,                0.70697,                0.14813,                0.08919,                0.04167,                 2.7142,                 2.6718,                 1.9061,              0.0010945,              0.0010945,              0.0010945
                      9,                 2.4066,                 2.5685,                 1.7835,                0.90095,                   0.15,                0.11846,                0.05483,                 2.7125,                 2.4873,                 1.8982,              0.0010918,              0.0010918,              0.0010918
                     10,                  2.277,                 2.3414,                 1.7344,                0.90661,                  0.162,                0.12963,                0.06227,                 2.6017,                 2.5261,                 1.8715,               0.001089,               0.001089,               0.001089
                     11,                 2.2994,                 2.3831,                 1.7389,                0.90924,                0.15166,                0.13233,                0.06474,                 2.5782,                  2.683,                 1.8399,              0.0010863,              0.0010863,              0.0010863
