                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5837,                 9.7533,                 3.7332,                0.00139,                0.17905,                0.01158,                0.00392,                 3.5244,                 7.1456,                 2.9383,             0.00036836,             0.00036836,             0.00036836
                      2,                 3.1719,                 5.1962,                 2.6942,                 0.8316,                0.06286,                0.02581,                 0.0104,                  3.505,                 6.1811,                 2.7443,             0.00073687,             0.00073687,             0.00073687
                      3,                 2.8892,                  4.495,                 2.3778,                0.87245,                0.15255,                0.08516,                0.03328,                 3.3497,                 5.9988,                 2.4049,              0.0011035,              0.0011035,              0.0011035
                      4,                 2.7886,                 4.0653,                 2.1402,                0.88428,                 0.1219,                0.09696,                0.04116,                 3.1015,                 3.5082,                 2.1824,              0.0011028,              0.0011028,              0.0011028
                      5,                 2.7426,                 3.6745,                 2.0584,                0.89939,                0.13143,                0.10218,                0.03628,                 2.9993,                 3.4001,                 2.1246,              0.0011028,              0.0011028,              0.0011028
                      6,                 2.6116,                 3.1481,                  2.022,                0.87657,                0.12762,                 0.0848,                0.03316,                 2.9145,                 3.3375,                 2.0489,                 0.0011,                 0.0011,                 0.0011
                      7,                 2.5899,                 3.0705,                 1.9301,                0.90136,                0.14095,                0.11258,                0.04328,                 2.8861,                 3.1294,                 2.0483,              0.0010973,              0.0010973,              0.0010973
                      8,                 2.5328,                 2.9241,                 1.8837,                0.91872,                0.14189,                0.13004,                 0.0542,                 2.7692,                 3.0892,                 1.9249,              0.0010945,              0.0010945,              0.0010945
                      9,                 2.5732,                 2.8923,                 1.8682,                 0.9196,                0.13143,                0.11925,                0.05868,                 2.7247,                 2.9831,                 1.9157,              0.0010918,              0.0010918,              0.0010918
                     10,                 2.4276,                 2.6368,                 1.8203,                0.93869,                0.15429,                0.15158,                0.07535,                 2.6601,                 2.6252,                 1.8625,               0.001089,               0.001089,               0.001089
                     11,                 2.4575,                 2.7527,                  1.835,                0.92507,                 0.1581,                0.14297,                0.06698,                 2.6443,                 2.7262,                 1.8108,              0.0010863,              0.0010863,              0.0010863
                     12,                 2.4062,                 2.5712,                 1.7823,                 0.7258,                0.17216,                0.15006,                0.06983,                 2.5913,                 2.5878,                 1.7844,              0.0010835,              0.0010835,              0.0010835
                     13,                 2.3447,                 2.4119,                 1.7551,                0.90598,                 0.1503,                0.12388,                 0.0584,                 2.5483,                 2.7504,                 1.7709,              0.0010808,              0.0010808,              0.0010808
                     14,                 2.3606,                  2.408,                 1.7842,                0.74453,                0.19188,                0.13673,                0.06126,                 2.4719,                 2.5315,                 1.7235,               0.001078,               0.001078,               0.001078
                     15,                 2.2967,                 2.4099,                 1.7142,                0.93227,                0.15238,                0.16253,                0.07933,                 2.5354,                  2.493,                 1.7475,              0.0010753,              0.0010753,              0.0010753
                     16,                  2.322,                 2.4079,                 1.7075,                0.92495,                0.15048,                0.15724,                0.08075,                 2.4957,                 2.4419,                 1.7241,              0.0010725,              0.0010725,              0.0010725
                     17,                 2.2943,                 2.3356,                 1.7131,                0.75139,                0.20122,                0.16674,                0.07808,                 2.5047,                 2.3883,                 1.7366,              0.0010698,              0.0010698,              0.0010698
                     18,                 2.2556,                 2.1896,                 1.6747,                0.90386,                0.15429,                0.14728,                0.06943,                 2.4782,                 2.6977,                 1.7117,               0.001067,               0.001067,               0.001067
