                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9549,                 8.4286,                 4.2064,                0.00049,                0.09167,                0.00071,                0.00015,                 4.3087,                 11.091,                 3.7736,              0.0033173,              0.0033173,              0.0033173
                      2,                 4.1315,                 6.9869,                 3.7898,                0.80833,                0.02917,                 0.0046,                0.00103,                  4.015,                 10.296,                 3.3808,              0.0066342,              0.0066342,              0.0066342
                      3,                 3.7052,                 6.0083,                 3.0484,                0.85457,                0.08417,                0.05169,                0.02172,                 3.5487,                 10.274,                 2.6692,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.2589,                 4.4424,                 2.4619,                0.88627,                0.13083,                0.08853,                0.04004,                 3.3653,                 9.6851,                 2.2976,              0.0099258,              0.0099258,              0.0099258
                      5,                 3.0578,                 3.5387,                 2.1735,                0.87208,                0.11917,                0.07772,                0.03486,                 3.2126,                 3.3793,                 2.0108,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.9548,                 3.1757,                 1.9666,                0.87788,                0.13333,                0.08791,                 0.0384,                 3.3201,                 3.2893,                 1.9359,               0.009901,               0.009901,               0.009901
                      7,                 2.9166,                 2.9781,                 1.8881,                0.85976,                 0.1325,                0.06064,                0.02585,                 3.1127,                 3.1601,                 1.8463,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.9112,                  2.828,                  1.826,                0.75152,                0.16397,                0.12512,                0.05519,                 3.0284,                 2.7085,                  1.807,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.8255,                 2.6474,                 1.7772,                0.74032,                0.17438,                0.14389,                  0.061,                 3.0351,                 2.6103,                 1.7744,              0.0098268,              0.0098268,              0.0098268
                     10,                  2.741,                 2.5474,                 1.7332,                0.31528,                 0.1954,                 0.1238,                0.04965,                 3.0961,                 2.7472,                 1.7646,               0.009802,               0.009802,               0.009802
