                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5114,                 7.8522,                 3.8689,                0.86233,                 0.0725,                0.06299,                0.02269,                 3.4088,                 11.096,                 2.8724,              0.0033173,              0.0033173,              0.0033173
                      2,                  3.169,                 5.0626,                  2.587,                0.91276,                 0.1275,                 0.1195,                0.05299,                 3.3342,                 8.9246,                 2.4854,              0.0066342,              0.0066342,              0.0066342
                      3,                 2.9946,                 3.9283,                 2.2083,                0.88073,                   0.13,                0.08195,                0.03614,                 3.2428,                 3.9939,                 2.0982,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9671,                 3.2015,                 1.9754,                0.91406,                0.15042,                0.12462,                0.05299,                 3.1944,                 4.0118,                 1.9581,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9054,                 2.8729,                 1.8503,                0.90025,                 0.1175,                0.09912,                  0.045,                 3.1535,                 3.2567,                 1.9515,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7742,                 2.6583,                 1.7415,                0.74536,                0.15251,                0.13523,                0.06183,                 2.9283,                 2.6982,                 1.7973,               0.009901,               0.009901,               0.009901
                      7,                 2.7258,                 2.5742,                 1.7137,                0.80801,                0.16064,                  0.144,                 0.0659,                 2.8233,                 2.5825,                 1.7113,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7142,                 2.4781,                 1.6853,                 0.9174,                0.14805,                0.15666,                 0.0723,                 2.8182,                 2.5766,                 1.6531,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6654,                 2.3779,                 1.6744,                0.30876,                0.21414,                0.18229,                0.08298,                 2.7897,                 2.3368,                 1.6759,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6062,                 2.3123,                 1.6504,                0.20066,                0.21982,                0.16133,                0.07226,                 2.8437,                 2.5328,                 1.6465,               0.009802,               0.009802,               0.009802
                     11,                 2.5971,                 2.2631,                  1.628,                 0.3013,                0.25852,                0.20048,                0.08699,                 2.7132,                 2.2382,                 1.5965,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5604,                 2.1939,                 1.6144,                 0.2908,                0.26718,                0.20889,                0.09069,                 2.6408,                 2.1914,                 1.5568,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5164,                 2.0962,                 1.5773,                0.28326,                0.27973,                0.20576,                0.09076,                 2.6967,                 2.2189,                 1.5931,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.4914,                 2.0699,                 1.5672,                0.30653,                0.32058,                0.25626,                0.11594,                   2.57,                 1.9897,                 1.5401,               0.009703,               0.009703,               0.009703
