                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3323,                 7.2351,                 3.7234,                0.87984,                0.09966,                0.07617,                0.03069,                 3.3496,                 9.0803,                 2.6907,              0.0033173,              0.0033173,              0.0033173
                      2,                 2.9912,                 4.3153,                 2.4412,                0.88254,                 0.1125,                0.08818,                0.03833,                 3.1448,                 8.3386,                  2.346,              0.0066342,              0.0066342,              0.0066342
                      3,                 2.8641,                 3.5587,                  2.124,                0.84437,                0.12833,                0.04727,                0.02115,                 3.3498,                 5.3631,                 2.1308,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.8991,                 3.0569,                 1.9527,                 0.8971,                0.14583,                0.12107,                0.05583,                 3.1708,                  3.345,                 1.8794,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.8568,                 2.7964,                   1.84,                0.32236,                0.21986,                0.12603,                0.05658,                 3.1608,                 3.4014,                 1.8273,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7314,                 2.5636,                 1.7297,                0.34465,                0.17518,                0.13531,                0.06384,                 2.9462,                 2.6842,                 1.7229,               0.009901,               0.009901,               0.009901
                      7,                 2.6883,                 2.4616,                 1.6987,                0.37052,                0.18597,                0.13172,                0.06014,                 2.8826,                 2.6601,                 1.7363,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.6776,                 2.3747,                 1.6664,                0.43154,                0.21442,                0.17187,                0.07424,                 2.7384,                 2.9678,                 1.6436,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6223,                 2.2646,                 1.6493,                 0.4456,                0.27118,                0.20131,                 0.0833,                 2.7248,                  2.308,                 1.6184,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.5395,                 2.1692,                 1.6181,                0.26761,                0.29271,                0.21464,                 0.0817,                 2.8384,                 2.2318,                 1.6532,               0.009802,               0.009802,               0.009802
                     11,                 2.5359,                 2.1395,                 1.5992,                0.26543,                0.31161,                0.20701,                0.08868,                 2.7096,                 2.2821,                 1.6307,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5044,                 2.0567,                 1.5868,                 0.2602,                0.31981,                0.23665,                0.10162,                 2.7593,                 2.1775,                  1.576,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.4776,                 1.9773,                 1.5599,                 0.3175,                0.34068,                0.25942,                0.11159,                 2.6248,                 2.0323,                 1.5514,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.4508,                 1.9573,                 1.5556,                0.32331,                0.36989,                0.27085,                0.11992,                 2.5155,                  2.072,                 1.5345,               0.009703,               0.009703,               0.009703
                     15,                 2.4079,                 1.8914,                  1.524,                0.35692,                0.33911,                0.28883,                0.12299,                 2.5666,                 1.9761,                 1.5576,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4085,                  1.853,                 1.5289,                0.34516,                0.37802,                0.30275,                0.13053,                 2.4784,                 1.9657,                 1.5083,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.3758,                 1.8135,                 1.5089,                0.42366,                0.36804,                0.32614,                0.11084,                 2.6843,                 1.8978,                 1.6361,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.3354,                 1.7744,                 1.4978,                0.37296,                0.40543,                0.35585,                0.14899,                 2.4271,                 1.8533,                 1.5059,               0.009604,               0.009604,               0.009604
                     19,                 2.3189,                 1.7428,                 1.4886,                0.39317,                0.40875,                0.33438,                0.13977,                  2.475,                 1.7787,                 1.5334,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3102,                 1.7342,                  1.483,                0.47314,                0.40122,                0.37698,                 0.1604,                 2.3671,                 1.7112,                 1.4576,              0.0095545,              0.0095545,              0.0095545
                     21,                  2.299,                 1.7055,                 1.4551,                0.44336,                0.38697,                  0.364,                0.16005,                 2.3759,                 1.8038,                 1.4655,              0.0095298,              0.0095298,              0.0095298
                     22,                  2.278,                 1.6558,                 1.4695,                0.48213,                0.45117,                0.39771,                0.17388,                 2.3171,                 1.5846,                 1.4204,               0.009505,               0.009505,               0.009505
                     23,                 2.2571,                 1.6366,                 1.4548,                0.44774,                0.41428,                0.39165,                 0.1708,                 2.3439,                 1.7304,                 1.4198,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.2467,                 1.6175,                 1.4285,                0.44687,                0.45667,                0.40771,                0.18007,                 2.2732,                 1.6597,                 1.4172,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.2209,                 1.5987,                 1.4258,                0.42391,                0.44343,                0.38801,                0.16525,                 2.3442,                 1.7869,                 1.4469,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.2001,                 1.5428,                  1.412,                0.50594,                0.43797,                0.41809,                0.18494,                 2.2623,                  1.549,                 1.4202,               0.009406,               0.009406,               0.009406
                     27,                 2.1954,                 1.5233,                 1.4199,                0.51442,                0.48838,                0.45109,                0.19326,                 2.3076,                 1.4967,                 1.4162,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.1656,                 1.4897,                 1.4019,                0.50228,                0.49219,                0.45787,                0.20292,                 2.2605,                 1.5837,                 1.4061,              0.0093565,              0.0093565,              0.0093565
                     29,                 2.1525,                 1.4811,                  1.394,                0.52726,                0.47063,                0.46161,                0.19094,                 2.3413,                 1.4731,                 1.4692,              0.0093317,              0.0093317,              0.0093317
                     30,                 2.1136,                 1.4554,                 1.3855,                0.50193,                0.49799,                0.46769,                0.21086,                 2.1849,                 1.4277,                 1.3797,               0.009307,               0.009307,               0.009307
                     31,                 2.1336,                 1.4616,                 1.3849,                0.57036,                0.49308,                0.48325,                0.21867,                 2.2044,                  1.385,                 1.3925,              0.0092823,              0.0092823,              0.0092823
                     32,                 2.1311,                 1.4165,                 1.3904,                0.50875,                0.48025,                0.47086,                0.21486,                 2.1955,                 1.3948,                 1.3655,              0.0092575,              0.0092575,              0.0092575
                     33,                 2.1217,                 1.4184,                 1.3805,                0.54601,                0.48849,                0.49163,                  0.223,                 2.2045,                 1.4391,                 1.3832,              0.0092327,              0.0092327,              0.0092327
                     34,                 2.0995,                 1.4201,                 1.3892,                 0.5771,                0.49553,                0.50123,                 0.2222,                 2.2042,                 1.4713,                  1.396,               0.009208,               0.009208,               0.009208
                     35,                 2.0753,                 1.3764,                 1.3704,                0.52232,                 0.5084,                0.49467,                0.22288,                 2.1404,                 1.5161,                 1.3563,              0.0091833,              0.0091833,              0.0091833
                     36,                 2.0541,                 1.3594,                 1.3656,                 0.6298,                0.49345,                0.51864,                0.23612,                 2.1568,                 1.2978,                 1.3612,              0.0091585,              0.0091585,              0.0091585
                     37,                 2.0588,                 1.3497,                 1.3578,                0.57821,                0.49458,                0.49942,                0.22825,                 2.1582,                 1.3555,                  1.364,              0.0091337,              0.0091337,              0.0091337
                     38,                 2.0465,                 1.3383,                 1.3422,                0.56497,                0.53501,                0.51993,                0.22947,                 2.1486,                 1.3371,                 1.3717,               0.009109,               0.009109,               0.009109
                     39,                  2.044,                 1.3394,                 1.3439,                0.57919,                0.53016,                 0.5281,                0.24015,                 2.1435,                 1.3653,                 1.3419,              0.0090843,              0.0090843,              0.0090843
                     40,                 2.0449,                  1.306,                 1.3586,                0.61195,                0.53569,                0.55097,                0.25118,                 2.0831,                  1.264,                 1.3304,              0.0090595,              0.0090595,              0.0090595
                     41,                 2.0382,                 1.3138,                 1.3423,                0.61123,                0.52965,                0.52466,                 0.2406,                 2.0386,                 1.2535,                  1.315,              0.0090347,              0.0090347,              0.0090347
                     42,                 2.0147,                 1.2862,                 1.3373,                0.63855,                0.53643,                0.54514,                 0.2531,                 2.0691,                 1.2063,                 1.3185,                0.00901,                0.00901,                0.00901
                     43,                 2.0052,                 1.2878,                 1.3375,                0.63141,                0.53592,                0.54329,                0.25146,                 2.0931,                 1.2637,                 1.3316,              0.0089853,              0.0089853,              0.0089853
                     44,                 1.9716,                 1.2477,                 1.3265,                0.61441,                0.55016,                0.56188,                0.25883,                 2.0775,                 1.2091,                 1.3208,              0.0089605,              0.0089605,              0.0089605
                     45,                  1.989,                 1.2684,                 1.3198,                0.63168,                0.53018,                0.54675,                0.24349,                 2.1422,                 1.2477,                  1.371,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.9775,                 1.2497,                 1.3131,                0.63055,                0.55397,                0.57281,                0.26611,                  2.007,                 1.1957,                 1.2949,               0.008911,               0.008911,               0.008911
                     47,                 1.9674,                 1.2428,                 1.3219,                0.66982,                0.54601,                0.56406,                0.26341,                 2.0258,                 1.1895,                 1.3027,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.9388,                 1.2011,                 1.3037,                0.64916,                0.55702,                0.57583,                  0.271,                 1.9969,                 1.1582,                 1.2869,              0.0088615,              0.0088615,              0.0088615
                     49,                  1.959,                 1.2094,                 1.3044,                 0.7075,                0.54635,                0.59497,                0.28206,                 2.0151,                 1.1635,                 1.2838,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.9283,                 1.1992,                 1.2885,                 0.6669,                 0.5872,                0.60684,                0.27784,                  1.984,                 1.1483,                 1.2916,               0.008812,               0.008812,               0.008812
                     51,                 1.9274,                 1.1982,                 1.2991,                0.68132,                0.55986,                0.59521,                0.27958,                 1.9914,                 1.1727,                 1.2901,              0.0087872,              0.0087872,              0.0087872
                     52,                  1.916,                 1.2036,                 1.2943,                0.67266,                0.56657,                 0.5845,                0.27078,                 2.0118,                 1.1927,                 1.2934,              0.0087625,              0.0087625,              0.0087625
                     53,                 1.9046,                 1.1766,                 1.2839,                0.69879,                0.59404,                0.62243,                0.30164,                  1.932,                 1.0998,                 1.2721,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.9121,                 1.1916,                 1.2859,                0.70152,                0.56716,                0.58963,                0.28865,                 1.9254,                 1.1314,                  1.271,               0.008713,               0.008713,               0.008713
                     55,                 1.8843,                 1.1648,                 1.2891,                0.70006,                0.56494,                0.62556,                0.30327,                  1.909,                 1.1293,                 1.2571,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.9114,                 1.1649,                 1.2795,                0.69583,                0.57423,                0.60633,                  0.299,                  1.937,                 1.1207,                 1.2637,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.8509,                 1.1239,                 1.2626,                0.67858,                0.58705,                0.62721,                0.30817,                 1.8763,                 1.1023,                 1.2521,              0.0086388,              0.0086388,              0.0086388
                     58,                  1.879,                  1.137,                 1.2788,                0.69179,                0.59493,                0.62537,                0.30734,                 1.9011,                   1.08,                 1.2494,               0.008614,               0.008614,               0.008614
                     59,                 1.8618,                 1.1299,                  1.252,                0.72483,                0.59544,                 0.6428,                0.31962,                 1.8742,                 1.0668,                 1.2336,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.8847,                 1.1492,                 1.2735,                0.72195,                0.60247,                0.62831,                 0.3063,                 1.8919,                 1.1047,                 1.2425,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.8314,                 1.0939,                 1.2539,                0.70917,                0.58881,                0.63469,                0.30384,                 1.9173,                 1.1086,                 1.2533,              0.0085398,              0.0085398,              0.0085398
