                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6033,                 7.9345,                 3.9034,                0.65582,                0.05583,                0.04094,                0.01468,                 3.4372,                 10.366,                 3.0251,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.1773,                 5.0661,                 2.6099,                0.88575,                0.14333,                0.11366,                0.04279,                   3.51,                  14.23,                 2.4865,              0.0066342,              0.0066342,              0.0066342
                      3,                 2.9807,                 3.8311,                 2.1963,                0.89668,                0.12009,                0.09921,                0.04057,                 3.4428,                 4.4882,                 2.1619,              0.0099346,              0.0099346,              0.0099346
                      4,                  2.984,                 3.1952,                 1.9686,                0.91207,                0.14583,                0.12798,                0.05521,                 3.2178,                 4.0714,                 1.9601,              0.0099258,              0.0099258,              0.0099258
                      5,                  2.893,                 2.8735,                 1.8383,                0.90351,                0.14333,                0.11034,                0.05274,                 3.0244,                 3.0621,                 1.7924,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7908,                 2.6428,                 1.7462,                0.77212,                0.16368,                0.13658,                0.06247,                 2.9055,                 2.6649,                 1.7682,               0.009901,               0.009901,               0.009901
                      7,                 2.7399,                 2.5464,                 1.7118,                 0.7246,                0.17632,                 0.1352,                 0.0628,                 2.9067,                 2.6131,                 1.7442,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7003,                  2.471,                 1.6734,                0.92039,                 0.1375,                0.14527,                0.06859,                 2.8889,                 2.7913,                 1.7097,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.6701,                 2.3637,                 1.6697,                0.15714,                0.17332,                0.14321,                0.07261,                 2.9075,                 3.0216,                 1.7035,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.5911,                  2.264,                 1.6396,                0.93923,                0.14512,                0.16877,                0.08465,                 2.7638,                 2.6002,                 1.6512,               0.009802,               0.009802,               0.009802
                     11,                 2.5676,                  2.214,                 1.6096,                0.25012,                0.29505,                0.22101,                0.10462,                 2.6272,                   2.15,                 1.5604,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.5452,                 2.1489,                 1.6043,                0.26808,                0.27652,                0.21567,                0.09437,                 2.6486,                 2.1951,                 1.5702,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5085,                 2.0538,                 1.5727,                0.23372,                0.28469,                0.23391,                0.10201,                 2.6394,                 2.2195,                 1.5791,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.4704,                 2.0419,                 1.5586,                0.26089,                0.32656,                0.25059,                 0.1122,                 2.5535,                 2.0376,                  1.528,               0.009703,               0.009703,               0.009703
                     15,                 2.4289,                 1.9703,                 1.5365,                0.28084,                 0.3159,                0.26123,                0.11871,                 2.5553,                 2.0084,                 1.5419,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4316,                 1.9144,                 1.5339,                 0.2559,                0.33596,                0.26289,                0.11699,                 2.5267,                 2.0786,                 1.5198,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.3945,                 1.8751,                 1.5154,                 0.3337,                0.35205,                0.30218,                0.12073,                 2.5462,                 1.9616,                  1.535,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.3644,                 1.8482,                 1.5047,                0.37431,                0.37129,                0.31689,                0.13359,                 2.4622,                 1.8632,                 1.5078,               0.009604,               0.009604,               0.009604
                     19,                 2.3394,                 1.7914,                 1.4893,                0.30789,                0.32603,                 0.2639,                0.12148,                 2.5696,                 2.0781,                 1.5357,              0.0095793,              0.0095793,              0.0095793
