                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6723,                 8.0697,                 4.1066,                0.01138,                0.02083,                0.00376,                0.00085,                 4.0943,                 7.9669,                 4.1102,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.3519,                 5.1338,                 2.7552,                 0.8733,                0.07811,                0.05606,                0.02269,                 3.5511,                 5.5259,                  2.492,              0.0066342,              0.0066342,              0.0066342
                      3,                  3.024,                 3.7647,                 2.1959,                0.87125,                 0.1475,                0.09094,                0.04153,                 3.3348,                  9.611,                 2.1664,              0.0099346,              0.0099346,              0.0099346
                      4,                 3.0046,                 3.2195,                 1.9904,                0.88348,                  0.135,                0.09518,                0.04082,                 3.2322,                 8.1895,                 1.9573,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.9434,                  2.868,                 1.8773,                0.46549,                 0.1224,                0.06781,                0.02914,                 3.2363,                 3.2236,                 1.8433,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.8269,                  2.677,                 1.7708,                0.52266,                0.16319,                0.12962,                0.05841,                 2.9925,                 2.7557,                 1.7852,               0.009901,               0.009901,               0.009901
                      7,                 2.7678,                 2.5774,                 1.7333,                0.51718,                0.15499,                0.12939,                0.06257,                 2.9419,                 2.8204,                 1.7385,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.7453,                 2.5083,                 1.7004,                 0.5517,                0.17435,                0.15051,                0.07145,                 2.8799,                  2.567,                 1.6711,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.7079,                 2.4253,                 1.6895,                 0.7254,                0.14848,                0.16123,                0.07814,                 2.7656,                 2.6943,                 1.6789,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.6098,                 2.3186,                 1.6591,                0.16408,                0.23967,                0.17547,                0.07231,                  2.835,                 2.4725,                 1.6649,               0.009802,               0.009802,               0.009802
                     11,                 2.6045,                 2.3019,                   1.63,                0.17199,                0.23455,                0.15841,                0.07343,                 2.7857,                 2.5333,                 1.6191,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.6031,                 2.2152,                 1.6335,                0.27738,                0.26645,                0.18225,                0.07075,                 2.7875,                 2.2627,                 1.6273,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.5478,                  2.118,                 1.5967,                 0.2421,                0.30298,                0.23013,                0.10305,                 2.6027,                 2.3012,                 1.5444,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.5235,                 2.1135,                 1.5857,                 0.2729,                0.24616,                0.18668,                0.07976,                 2.7902,                 2.4609,                 1.6825,               0.009703,               0.009703,               0.009703
                     15,                 2.4712,                 2.0173,                 1.5605,                0.29723,                0.30656,                0.23925,                0.10277,                 2.6854,                 2.0675,                 1.5732,              0.0096783,              0.0096783,              0.0096783
                     16,                 2.4807,                 1.9786,                 1.5577,                0.29821,                0.34548,                0.27099,                0.11353,                 2.5837,                 2.0621,                 1.5617,              0.0096535,              0.0096535,              0.0096535
                     17,                 2.4504,                 1.9161,                 1.5417,                0.28986,                0.27432,                0.24188,                0.09632,                 2.8049,                 2.1543,                 1.6278,              0.0096288,              0.0096288,              0.0096288
                     18,                 2.4022,                 1.8869,                 1.5256,                0.35021,                 0.3474,                0.28883,                0.12495,                 2.5606,                 1.8732,                 1.5218,               0.009604,               0.009604,               0.009604
                     19,                 2.3866,                 1.8445,                 1.5139,                0.39356,                0.33785,                0.30913,                0.13629,                 2.4972,                 1.9788,                 1.5134,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.3896,                 1.8024,                 1.5164,                0.31018,                0.36889,                0.31013,                0.13676,                 2.4801,                 1.8757,                  1.504,              0.0095545,              0.0095545,              0.0095545
