                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6623,                 7.5999,                 4.0127,                0.64216,                0.05583,                0.02979,                0.01153,                 3.4994,                 9.5899,                 2.9852,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.3394,                 5.0371,                 2.7449,                 0.8572,                0.12083,                0.06241,                0.02348,                 3.4076,                 7.0227,                 2.4964,              0.0066342,              0.0066342,              0.0066342
                      3,                 2.9942,                 3.6378,                 2.1961,                0.87598,                0.12355,                0.08785,                0.03217,                 3.1329,                 3.7262,                 2.2453,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.9556,                 3.1038,                 1.9568,                0.90464,                   0.14,                  0.111,                0.04984,                 3.0979,                 3.1742,                 1.8975,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.8591,                 2.7781,                 1.8274,                0.90154,                0.12083,                0.11262,                0.05316,                 3.2357,                 4.5791,                 1.8791,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7506,                  2.535,                 1.7307,                0.34535,                 0.1908,                0.13869,                0.06108,                 2.8725,                 2.6344,                 1.7166,               0.009901,               0.009901,               0.009901
                      7,                 2.6814,                 2.4336,                 1.6878,                0.41231,                0.18934,                0.14458,                0.05856,                 2.8792,                 2.3985,                 1.7273,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.6462,                 2.3061,                  1.652,                0.21677,                0.24463,                0.16013,                0.06682,                 2.7818,                 2.2868,                 1.6232,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.5718,                 2.1955,                 1.6232,                0.22959,                0.26405,                0.20242,                0.08864,                 2.6956,                 2.2976,                 1.6404,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.4904,                 2.0888,                 1.5936,                0.19981,                0.23146,                0.16999,                 0.0731,                 2.9179,                 2.7036,                 1.6754,               0.009802,               0.009802,               0.009802
                     11,                 2.4814,                  2.061,                 1.5686,                0.28413,                0.35751,                0.27123,                0.11302,                 2.5829,                 2.0222,                 1.5481,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.4471,                 1.9603,                 1.5545,                0.32853,                0.31661,                0.26546,                0.10484,                 2.6389,                 2.1381,                 1.5549,              0.0097525,              0.0097525,              0.0097525
                     13,                 2.4082,                 1.8414,                 1.5243,                0.28023,                0.40374,                0.30666,                0.12455,                 2.5082,                 1.9941,                 1.5009,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.3677,                 1.8257,                 1.5039,                0.34674,                 0.4044,                0.32176,                0.13645,                 2.4613,                 1.7921,                 1.4883,               0.009703,               0.009703,               0.009703
                     15,                 2.3228,                 1.7291,                 1.4791,                0.33678,                0.38172,                 0.2878,                 0.1231,                 2.4756,                 1.8458,                 1.4829,              0.0096783,              0.0096783,              0.0096783
                     16,                  2.295,                 1.6823,                  1.466,                0.45341,                0.44185,                0.39872,                0.16411,                 2.3566,                 1.6768,                 1.4516,              0.0096535,              0.0096535,              0.0096535
                     17,                  2.272,                 1.6258,                 1.4573,                0.47205,                0.42411,                0.38842,                0.15874,                  2.411,                 1.6089,                 1.4672,              0.0096288,              0.0096288,              0.0096288
                     18,                  2.229,                 1.5982,                 1.4395,                0.43372,                0.42087,                0.39348,                0.16828,                 2.3474,                 1.6666,                 1.4592,               0.009604,               0.009604,               0.009604
                     19,                 2.2042,                 1.5396,                 1.4243,                0.50795,                0.42976,                0.40458,                0.17155,                 2.3331,                 1.6117,                 1.4503,              0.0095793,              0.0095793,              0.0095793
                     20,                 2.1954,                  1.498,                 1.4213,                0.48683,                0.45866,                0.41473,                  0.183,                  2.316,                 1.6959,                 1.4367,              0.0095545,              0.0095545,              0.0095545
                     21,                 2.1683,                 1.4758,                 1.3929,                0.51364,                 0.4716,                0.43775,                0.18883,                 2.2824,                 1.4542,                 1.4201,              0.0095298,              0.0095298,              0.0095298
                     22,                 2.1382,                 1.4411,                 1.3945,                0.54443,                0.48923,                0.47757,                0.20535,                 2.2242,                 1.4266,                   1.38,               0.009505,               0.009505,               0.009505
                     23,                 2.1012,                 1.3852,                 1.3745,                0.55941,                0.51329,                0.50384,                 0.2122,                 2.2166,                 1.3372,                 1.3798,              0.0094803,              0.0094803,              0.0094803
                     24,                 2.0994,                 1.3579,                 1.3553,                0.54812,                0.50764,                0.49278,                0.21478,                 2.1853,                 1.3806,                 1.3543,              0.0094555,              0.0094555,              0.0094555
                     25,                 2.0554,                 1.3329,                 1.3461,                 0.6309,                0.52542,                0.53557,                 0.2334,                 2.1506,                 1.2628,                 1.3571,              0.0094307,              0.0094307,              0.0094307
                     26,                 2.0447,                 1.3001,                 1.3352,                0.54719,                  0.522,                0.51472,                0.22388,                 2.1557,                 1.4103,                 1.3579,               0.009406,               0.009406,               0.009406
                     27,                 2.0301,                 1.2734,                 1.3391,                0.65669,                0.48102,                0.53015,                0.23536,                 2.1439,                 1.4299,                 1.3438,              0.0093813,              0.0093813,              0.0093813
                     28,                 2.0176,                 1.2439,                 1.3235,                0.63122,                0.54246,                0.54854,                0.23968,                 2.1124,                 1.2206,                  1.343,              0.0093565,              0.0093565,              0.0093565
                     29,                 1.9671,                 1.2273,                 1.3049,                0.61948,                0.53758,                0.53407,                 0.2415,                 2.1167,                 1.2448,                 1.3546,              0.0093317,              0.0093317,              0.0093317
                     30,                 1.9449,                 1.1936,                 1.2999,                0.61305,                0.56604,                0.57166,                0.26483,                 2.0114,                  1.151,                   1.31,               0.009307,               0.009307,               0.009307
                     31,                 1.9494,                 1.1897,                 1.2947,                0.68268,                0.57004,                0.59674,                0.27006,                 1.9939,                 1.1137,                 1.2926,              0.0092823,              0.0092823,              0.0092823
                     32,                 1.9499,                   1.16,                 1.2997,                0.63109,                0.54786,                0.57873,                 0.2586,                 1.9894,                 1.3012,                 1.3119,              0.0092575,              0.0092575,              0.0092575
                     33,                 1.9346,                 1.1526,                 1.2866,                 0.6954,                 0.5629,                0.58597,                0.26733,                 2.0046,                 1.1406,                 1.3038,              0.0092327,              0.0092327,              0.0092327
                     34,                 1.8853,                 1.1425,                 1.2824,                 0.6701,                 0.5816,                0.61609,                0.29523,                 1.9322,                 1.0666,                 1.2705,               0.009208,               0.009208,               0.009208
                     35,                 1.8896,                 1.1107,                 1.2728,                0.68533,                0.59551,                0.61989,                0.27798,                 2.0326,                 1.1203,                 1.3077,              0.0091833,              0.0091833,              0.0091833
                     36,                 1.8583,                 1.0806,                 1.2696,                0.71362,                0.57583,                0.61918,                0.29086,                 1.9266,                 1.0772,                 1.2607,              0.0091585,              0.0091585,              0.0091585
                     37,                 1.8415,                 1.0731,                 1.2545,                0.70894,                0.61029,                0.63862,                0.30746,                 1.8646,                 1.0149,                  1.235,              0.0091337,              0.0091337,              0.0091337
                     38,                 1.8371,                  1.047,                 1.2432,                0.74197,                0.61301,                0.65099,                0.30847,                 1.8702,                  1.008,                 1.2508,               0.009109,               0.009109,               0.009109
                     39,                 1.8196,                 1.0552,                 1.2368,                0.74169,                0.58586,                0.64589,                0.30631,                 1.8944,                  1.023,                 1.2447,              0.0090843,              0.0090843,              0.0090843
                     40,                 1.8225,                  1.035,                 1.2491,                0.75626,                 0.6168,                0.66934,                0.32058,                 1.8516,                0.98496,                 1.2297,              0.0090595,              0.0090595,              0.0090595
                     41,                 1.7961,                 1.0237,                 1.2264,                0.78942,                0.62614,                0.68806,                0.33668,                 1.7825,                0.94728,                 1.2147,              0.0090347,              0.0090347,              0.0090347
                     42,                  1.786,                 1.0018,                 1.2296,                0.76728,                0.63554,                0.68847,                0.32275,                 1.8494,                 0.9605,                 1.2289,                0.00901,                0.00901,                0.00901
                     43,                  1.772,                0.99035,                 1.2246,                0.69139,                0.60086,                0.63652,                0.30258,                 1.8901,                 1.0017,                  1.248,              0.0089853,              0.0089853,              0.0089853
                     44,                  1.738,                0.97398,                 1.2142,                0.74572,                0.62282,                0.67941,                0.33748,                 1.7762,                0.94235,                 1.1948,              0.0089605,              0.0089605,              0.0089605
                     45,                 1.7402,                0.97684,                 1.2049,                0.73908,                0.64913,                0.68138,                0.34061,                 1.7797,                0.94611,                 1.2117,              0.0089358,              0.0089358,              0.0089358
                     46,                 1.7412,                0.97384,                 1.2012,                0.78984,                0.63815,                0.70457,                0.34998,                 1.7588,                0.92891,                 1.1959,               0.008911,               0.008911,               0.008911
                     47,                 1.7129,                0.95501,                 1.2056,                0.77367,                 0.6348,                 0.6915,                0.33895,                 1.7806,                0.96148,                 1.2003,              0.0088863,              0.0088863,              0.0088863
                     48,                 1.6797,                0.92979,                 1.1837,                 0.7849,                0.61875,                0.68831,                0.33753,                 1.7781,                0.95886,                 1.2069,              0.0088615,              0.0088615,              0.0088615
                     49,                 1.6878,                0.92477,                 1.1875,                0.79457,                 0.6671,                0.71304,                 0.3569,                 1.7503,                0.92064,                 1.1846,              0.0088368,              0.0088368,              0.0088368
                     50,                 1.6825,                0.92384,                  1.174,                0.82968,                 0.6501,                0.72335,                0.36429,                 1.6892,                0.89506,                 1.1706,               0.008812,               0.008812,               0.008812
                     51,                  1.662,                0.91418,                 1.1777,                0.78285,                0.66351,                0.72666,                0.38047,                 1.6544,                 0.8856,                  1.158,              0.0087872,              0.0087872,              0.0087872
                     52,                 1.6638,                0.90962,                   1.18,                 0.8141,                0.66144,                 0.7325,                0.37397,                 1.7063,                0.88682,                 1.1756,              0.0087625,              0.0087625,              0.0087625
                     53,                  1.641,                 0.8916,                 1.1662,                0.82785,                0.65368,                 0.7227,                 0.3706,                 1.6961,                0.86928,                 1.1869,              0.0087378,              0.0087378,              0.0087378
                     54,                 1.6464,                0.90623,                 1.1643,                0.79894,                0.65029,                0.70955,                0.36416,                 1.7105,                0.90035,                 1.1749,               0.008713,               0.008713,               0.008713
                     55,                 1.6122,                0.87951,                 1.1657,                0.78492,                0.69403,                0.74806,                0.39249,                 1.6756,                0.85277,                 1.1596,              0.0086882,              0.0086882,              0.0086882
                     56,                 1.6272,                0.87776,                 1.1559,                0.84821,                 0.6822,                0.74756,                0.39664,                 1.6177,                0.82019,                 1.1397,              0.0086635,              0.0086635,              0.0086635
                     57,                 1.6041,                0.86087,                 1.1467,                0.81935,                0.68032,                0.73828,                0.39346,                 1.6283,                0.89234,                 1.1418,              0.0086388,              0.0086388,              0.0086388
                     58,                 1.6021,                0.85695,                 1.1511,                0.82615,                0.69343,                0.75869,                0.40417,                 1.5974,                 0.8066,                 1.1368,               0.008614,               0.008614,               0.008614
                     59,                 1.5935,                0.85783,                 1.1348,                0.83852,                0.67708,                0.75554,                0.40217,                 1.5682,                0.80667,                  1.133,              0.0085893,              0.0085893,              0.0085893
                     60,                 1.6119,                0.86737,                 1.1521,                0.83834,                0.66922,                0.74579,                0.40071,                 1.6008,                0.82801,                 1.1334,              0.0085645,              0.0085645,              0.0085645
                     61,                 1.5498,                0.82494,                 1.1288,                0.84371,                 0.6937,                0.76515,                0.41642,                 1.5576,                0.78744,                 1.1247,              0.0085398,              0.0085398,              0.0085398
                     62,                   1.55,                0.82378,                 1.1293,                0.83384,                0.66421,                0.73393,                0.39805,                 1.6165,                0.83022,                 1.1479,               0.008515,               0.008515,               0.008515
                     63,                 1.5535,                0.82984,                 1.1313,                0.81747,                0.70288,                0.76671,                0.42443,                  1.563,                0.80263,                 1.1219,              0.0084903,              0.0084903,              0.0084903
                     64,                 1.5573,                0.83719,                 1.1256,                0.86903,                0.70767,                0.77726,                0.41607,                 1.5603,                0.81865,                 1.1119,              0.0084655,              0.0084655,              0.0084655
                     65,                 1.5359,                0.81658,                 1.1211,                0.83777,                0.71023,                 0.7714,                0.40592,                 1.5988,                0.79085,                 1.1476,              0.0084408,              0.0084408,              0.0084408
                     66,                 1.5322,                0.81665,                 1.1221,                 0.8597,                0.71352,                0.79035,                0.43054,                 1.5157,                 0.7744,                 1.0984,               0.008416,               0.008416,               0.008416
                     67,                 1.5327,                0.81354,                 1.1156,                0.83802,                0.72294,                 0.7794,                0.42849,                 1.5065,                0.77101,                 1.0989,              0.0083913,              0.0083913,              0.0083913
                     68,                 1.5018,                0.79667,                 1.1053,                0.85876,                0.71746,                0.77766,                0.42174,                 1.5069,                0.78753,                 1.1071,              0.0083665,              0.0083665,              0.0083665
                     69,                 1.5294,                0.80632,                 1.1077,                0.84845,                0.70862,                0.79149,                0.43915,                  1.489,                0.76954,                 1.0897,              0.0083418,              0.0083418,              0.0083418
                     70,                 1.5036,                0.79758,                 1.1119,                0.86258,                0.70822,                0.78628,                0.43317,                   1.51,                0.73792,                 1.0971,               0.008317,               0.008317,               0.008317
                     71,                 1.4799,                0.79017,                  1.104,                0.86966,                0.71933,                0.78702,                0.44993,                 1.4844,                0.73812,                 1.0898,              0.0082922,              0.0082922,              0.0082922
                     72,                  1.477,                0.77064,                 1.0977,                0.82756,                0.72404,                0.78506,                0.42633,                 1.5408,                0.77022,                 1.1105,              0.0082675,              0.0082675,              0.0082675
                     73,                 1.4735,                0.77478,                 1.0992,                0.86184,                0.72365,                0.80224,                 0.4554,                 1.4524,                 0.7325,                 1.0723,              0.0082428,              0.0082428,              0.0082428
                     74,                 1.4818,                0.77782,                 1.0987,                0.84508,                0.73753,                0.80296,                0.45641,                 1.4547,                 0.7324,                 1.0796,               0.008218,               0.008218,               0.008218
                     75,                 1.4524,                0.76876,                 1.0939,                0.88637,                0.70988,                0.79144,                0.44333,                 1.5231,                0.74606,                 1.1129,              0.0081932,              0.0081932,              0.0081932
                     76,                 1.4471,                0.76208,                 1.0921,                0.86436,                0.73289,                0.80313,                0.45792,                 1.4525,                0.72483,                 1.0797,              0.0081685,              0.0081685,              0.0081685
                     77,                 1.4498,                 0.7603,                 1.0849,                0.85526,                0.75675,                0.81972,                0.46163,                 1.4355,                0.70912,                 1.0747,              0.0081437,              0.0081437,              0.0081437
                     78,                 1.4371,                 0.7566,                 1.0858,                0.87909,                0.71953,                0.79841,                0.44712,                 1.4707,                0.73262,                   1.09,               0.008119,               0.008119,               0.008119
                     79,                 1.4236,                0.73958,                 1.0752,                 0.8762,                0.72384,                0.81423,                 0.4616,                 1.4663,                 0.7185,                 1.0846,              0.0080942,              0.0080942,              0.0080942
                     80,                  1.415,                0.74597,                 1.0736,                0.87349,                0.74391,                0.81487,                0.46616,                 1.4238,                0.70344,                 1.0739,              0.0080695,              0.0080695,              0.0080695
                     81,                  1.417,                0.74012,                 1.0802,                 0.8799,                0.73857,                 0.8166,                0.46848,                 1.4387,                0.70245,                 1.0725,              0.0080447,              0.0080447,              0.0080447
                     82,                 1.3952,                0.73012,                 1.0726,                 0.8823,                0.72594,                0.81405,                0.47253,                 1.4229,                0.69807,                 1.0686,                0.00802,                0.00802,                0.00802
                     83,                 1.4004,                0.72818,                 1.0666,                0.88521,                0.73656,                 0.8146,                0.46649,                 1.4393,                0.70601,                 1.0771,              0.0079953,              0.0079953,              0.0079953
                     84,                 1.4052,                0.73483,                 1.0627,                 0.8648,                 0.7374,                 0.8124,                0.47197,                 1.3738,                  0.698,                 1.0528,              0.0079705,              0.0079705,              0.0079705
