                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.6681,                  7.542,                 4.0153,                0.06241,                  0.065,                0.04698,                0.01419,                 3.7872,                 7.2147,                 3.7672,              0.0033173,              0.0033173,              0.0033173
                      2,                 3.2758,                 4.7464,                 2.6663,                 0.8711,                0.08917,                0.06663,                0.02068,                 3.4922,                 5.9186,                 2.7391,              0.0066342,              0.0066342,              0.0066342
                      3,                  3.021,                 3.6595,                 2.1736,                0.88626,                0.12917,                0.10295,                0.04519,                 3.1479,                 3.8258,                 2.0387,              0.0099346,              0.0099346,              0.0099346
                      4,                 2.8987,                 2.9061,                 1.9031,                0.91399,                0.13585,                0.12123,                0.05021,                 3.0482,                 3.5786,                 1.8657,              0.0099258,              0.0099258,              0.0099258
                      5,                 2.8204,                 2.5727,                 1.7978,                0.91463,                0.14833,                0.14007,                0.06689,                 2.9596,                 2.7157,                 1.7836,              0.0099258,              0.0099258,              0.0099258
                      6,                 2.7046,                 2.3941,                 1.7033,                0.92492,                 0.1475,                0.15135,                 0.0643,                 2.8462,                 2.6087,                 1.7097,               0.009901,               0.009901,               0.009901
                      7,                 2.6436,                 2.3117,                 1.6556,                0.34828,                 0.2082,                 0.1429,                0.06525,                 2.8472,                 2.6222,                 1.7192,              0.0098763,              0.0098763,              0.0098763
                      8,                 2.6141,                 2.1979,                 1.6267,                0.17554,                  0.268,                0.16679,                0.06919,                 2.7319,                 2.7319,                 1.6266,              0.0098515,              0.0098515,              0.0098515
                      9,                 2.5449,                 2.1076,                 1.6042,                0.26719,                0.27974,                0.21587,                0.09348,                 2.6932,                 2.1585,                 1.6041,              0.0098268,              0.0098268,              0.0098268
                     10,                 2.4622,                 1.9781,                 1.5674,                0.18663,                0.22466,                0.16728,                0.07884,                 2.8011,                 2.4926,                 1.6394,               0.009802,               0.009802,               0.009802
                     11,                 2.4413,                 1.9399,                 1.5477,                0.36021,                0.36621,                0.29599,                0.12274,                 2.5224,                  1.878,                 1.5277,              0.0097773,              0.0097773,              0.0097773
                     12,                 2.4028,                 1.8344,                 1.5345,                0.36417,                0.37988,                0.31119,                0.12989,                  2.492,                 1.8026,                 1.5133,              0.0097525,              0.0097525,              0.0097525
                     13,                  2.359,                 1.7484,                  1.498,                0.37869,                0.39803,                0.34078,                0.14048,                 2.4584,                 1.6989,                 1.4701,              0.0097278,              0.0097278,              0.0097278
                     14,                 2.3228,                 1.7171,                 1.4837,                0.35876,                 0.3979,                0.35045,                0.15082,                 2.3836,                 1.8276,                 1.4781,               0.009703,               0.009703,               0.009703
